Filename	Subject	Weeks	Strain	Tissue
1_MoGene.CEL	537	24	plus	Amygdala
101_MoGene.CEL	1127	12	lpr	Kidney
102_MoGene.CEL	724	12	lpr	Kidney
103_MoGene.CEL	738	12	lpr	Kidney
104_MoGene.CEL	874	6	lpr	Kidney
105_MoGene.CEL	992	6	lpr	Kidney
106_MoGene.CEL	993	6	lpr	Kidney
107_MoGene.CEL	994	6	lpr	Kidney
108_MoGene.CEL	1104	18	lpr2	Kidney
109_MoGene.CEL	1018	18	lpr2	Kidney
11_MoGene.CEL	439	24	lpr	Amygdala
110_MoGene.CEL	1003	12	lpr2	Kidney
112_MoGene.CEL	1005	12	lpr2	Kidney
113_MoGene.CEL	1137	6	lpr2	Kidney
114_MoGene.CEL	1181	6	lpr2	Kidney
115_MoGene.CEL	1136	6	lpr2	Kidney
116_MoGene.CEL	869	24	plus	Kidney
117_MoGene.CEL	752	12	plus	Kidney
118_MoGene.CEL	751	12	plus	Kidney
119_MoGene.CEL	1164	6	plus	Kidney
12_MoGene.CEL	472	24	lpr	Amygdala
120_MoGene.CEL	1165	6	plus	Kidney
125_MoGene.CEL	1118	18	lpr	Amygdala
129_MoGene.CEL	1119	18	lpr	Amygdala
13_MoGene.CEL	473	24	lpr	Amygdala
132_MoGene.CEL	700	12	lpr	Amygdala
134_MoGene.CEL	699	12	lpr	Amygdala
136_MoGene.CEL	622	24	lpr2	Amygdala
137_MoGene.CEL	796	24	lpr2	Amygdala
14_MoGene.CEL	551	24	lpr	Amygdala
142_MoGene.CEL	1138	6	lpr2	Amygdala
146_MoGene.CEL	604	18	plus	Amygdala
147_MoGene.CEL	592	18	plus	Amygdala
15_MoGene.CEL	764	24	lpr	Amygdala
155_MoGene.CEL	1118	18	lpr	Hippocampus
156_MoGene.CEL	700	12	lpr	Hippocampus
158_MoGene.CEL	701	12	lpr	Hippocampus
159_MoGene.CEL	724	12	lpr	Hippocampus
16_MoGene.CEL	1024	24	lpr	Amygdala
162_MoGene.CEL	849	6	lpr	Hippocampus
163_MoGene.CEL	981	6	lpr	Hippocampus
165_MoGene.CEL	794	24	lpr2	Hippocampus
166_MoGene.CEL	622	24	lpr2	Hippocampus
167_MoGene.CEL	834	18	lpr2	Hippocampus
168_MoGene.CEL	863	18	lpr2	Hippocampus
17_MoGene.CEL	1025	24	lpr	Amygdala
174_MoGene.CEL	997	18	lpr	Kidney
19_MoGene.CEL	844	18	lpr	Amygdala
2_MoGene.CEL	538	24	plus	Amygdala
20_MoGene.CEL	997	18	lpr	Amygdala
21_MoGene.CEL	998	18	lpr	Amygdala
22_MoGene.CEL	1110	18	lpr	Amygdala
23_MoGene.CEL	1117	18	lpr	Amygdala
24_MoGene.CEL	693	12	lpr	Amygdala
25_MoGene.CEL	694	12	lpr	Amygdala
26_MoGene.CEL	728	12	lpr	Amygdala
27_MoGene.CEL	738	12	lpr	Amygdala
29_MoGene.CEL	1128	12	lpr	Amygdala
3_MoGene.CEL	544	24	plus	Amygdala
30_MoGene.CEL	849	6	lpr	Amygdala
31_MoGene.CEL	844	18	lpr	Amygdala
32_MoGene.CEL	998	18	lpr	Amygdala
33_MoGene.CEL	1110	18	lpr	Amygdala
34_MoGene.CEL	994	6	lpr	Amygdala
35_MoGene.CEL	809	18	lpr	Hippocampus
36_MoGene.CEL	1137	6	lpr2	Amygdala
38_MoGene.CEL	1083	6	lpr2	Amygdala
45_MoGene.CEL	1110	18	lpr	Hippocampus
46_MoGene.CEL	600	24	lpr	Hippocampus
47_MoGene.CEL	764	24	lpr	Hippocampus
5_MoGene.CEL	582	18	plus	Amygdala
50_MoGene.CEL	844	18	lpr	Hippocampus
51_MoGene.CEL	738	12	lpr	Amygdala
53_MoGene.CEL	1111	18	lpr	Hippocampus
54_MoGene.CEL	694	12	lpr	Hippocampus
57_MoGene.CEL	1127	12	lpr	Hippocampus
58_MoGene.CEL	1128	12	lpr	Hippocampus
59_MoGene.CEL	874	6	lpr	Hippocampus
6_MoGene.CEL	590	18	plus	Amygdala
60_MoGene.CEL	992	6	lpr	Hippocampus
61_MoGene.CEL	993	6	lpr	Hippocampus
62_MoGene.CEL	994	6	lpr	Hippocampus
63_MoGene.CEL	1128	12	lpr	Amygdala
64_MoGene.CEL	1005	12	lpr2	Hippocampus
65_MoGene.CEL	1186	12	lpr2	Hippocampus
66_MoGene.CEL	1136	6	lpr2	Hippocampus
67_MoGene.CEL	849	6	lpr	Amygdala
68_MoGene.CEL	1181	6	lpr2	Hippocampus
7_MoGene.CEL	752	12	plus	Amygdala
8_MoGene.CEL	809	18	lpr	Amygdala
84_MoGene.CEL	598	24	lpr	Hippocampus
86_MoGene.CEL	998	18	lpr	Hippocampus
9_MoGene.CEL	1173	6	plus	Amygdala
97_MoGene.CEL	1024	24	lpr	Kidney
98_MoGene.CEL	1117	18	lpr	Kidney
99_MoGene.CEL	843	18	lpr	Kidney
